Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Overall_Impact
232,21,Male,Undergraduate,Other,4.0,Facebook,No,6.7,6.8,Neutral
564,23,Female,Undergraduate,Other,1.6,LinkedIn,No,8.6,7.6,Positive
788,22,Male,Graduate,Canada,4.6,Instagram,No,6.7,7.0,Neutral
686,18,Male,Undergraduate,Other,7.0,Snapchat,Yes,5.4,5.3,Negative
608,24,Female,High School,Other,7.5,Facebook,Yes,5.0,4.4,Negative
370,19,Female,High School,Other,4.1,Twitter,Yes,6.8,6.8,Neutral
862,22,Female,Graduate,Other,8.0,Instagram,Yes,5.2,5.3,Negative
520,21,Female,Graduate,Other,6.0,Facebook,Yes,5.7,4.7,Negative
703,24,Male,Undergraduate,USA,4.7,YouTube,No,7.0,6.2,Neutral
33,19,Male,High School,Other,3.6,TikTok,No,8.1,8.6,Positive
519,18,Male,Graduate,Other,4.1,LinkedIn,No,7.3,6.8,Neutral
738,18,Male,High School,Other,7.6,Snapchat,Yes,5.3,5.5,Negative
119,20,Male,Undergraduate,Other,2.4,Facebook,No,8.8,8.5,Positive
287,23,Female,Undergraduate,Other,6.2,LinkedIn,No,5.3,5.4,Negative
610,24,Male,Graduate,India,2.7,Instagram,No,8.6,7.8,Positive
383,18,Female,Graduate,Other,5.2,Twitter,Yes,7.0,6.3,Neutral
699,22,Female,Graduate,USA,6.5,YouTube,Yes,5.4,5.0,Negative
302,21,Male,High School,Australia,6.8,YouTube,Yes,5.7,5.0,Negative
277,21,Male,Graduate,Canada,6.9,Facebook,Yes,5.9,5.0,Negative
631,20,Male,Undergraduate,Other,5.5,Instagram,No,6.8,6.8,Neutral
567,23,Female,High School,Other,2.0,Facebook,No,7.9,7.1,Positive
110,19,Female,Undergraduate,Other,5.1,Snapchat,Yes,7.1,6.5,Neutral
261,24,Male,Undergraduate,Other,2.0,Facebook,Yes,7.8,8.5,Positive
691,23,Male,Undergraduate,India,2.0,TikTok,No,7.2,8.6,Positive
109,23,Female,Graduate,Other,7.1,LinkedIn,Yes,5.4,5.1,Negative
537,21,Male,Undergraduate,Other,6.2,Instagram,Yes,4.7,5.7,Negative
824,20,Female,Undergraduate,Other,2.8,LinkedIn,No,8.3,8.2,Positive
270,21,Female,High School,Other,7.4,TikTok,Yes,4.6,4.7,Negative
932,20,Female,Graduate,USA,5.6,TikTok,Yes,5.7,5.1,Negative
2,23,Female,Undergraduate,USA,2.7,YouTube,No,7.8,7.7,Positive
808,20,Male,High School,Australia,7.3,YouTube,No,6.0,5.7,Negative
143,24,Male,Graduate,Other,2.3,Snapchat,No,8.2,8.1,Positive
671,19,Male,High School,India,5.6,LinkedIn,No,6.9,6.6,Neutral
363,22,Female,Graduate,India,7.5,Facebook,Yes,5.2,4.0,Negative
725,24,Male,High School,UK,5.9,TikTok,No,5.9,4.9,Negative
120,18,Male,Undergraduate,UK,6.8,Instagram,Yes,5.5,4.2,Negative
925,23,Male,High School,Other,6.7,Snapchat,Yes,5.5,5.0,Negative
223,22,Male,Graduate,Other,4.5,Instagram,No,6.1,6.6,Neutral
305,22,Male,Graduate,USA,5.7,LinkedIn,Yes,6.8,6.3,Neutral
70,19,Female,Undergraduate,Other,2.3,Facebook,No,8.0,8.5,Positive
890,24,Male,Undergraduate,Other,8.3,Twitter,Yes,5.5,4.3,Negative
84,21,Female,Undergraduate,Other,6.5,Twitter,Yes,5.7,4.2,Negative
246,22,Female,Graduate,Other,6.9,Twitter,Yes,5.3,4.5,Negative
64,20,Male,Undergraduate,Other,8.1,TikTok,No,4.5,5.7,Negative
851,20,Female,High School,Other,7.2,Instagram,No,4.8,4.2,Negative
827,20,Male,Graduate,Other,4.1,Twitter,Yes,6.6,6.7,Neutral
104,18,Male,Graduate,Other,7.2,LinkedIn,Yes,4.5,5.9,Negative
103,19,Female,High School,Other,5.2,Twitter,No,7.5,6.4,Neutral
577,20,Male,High School,UK,7.4,Instagram,Yes,5.2,5.0,Negative
